ID	Concepts	Concepticon	Dataset	Organization	Source	Zenodo	ClicsCore	LexiCore	CogCore	ProtoCore	Version
liusinitic	203	202	liusinitic	lexibank	Liu2007	10.5281/zenodo.13254682	x	x	x		v1.4
luangthongkumkaren	341	249	luangthongkumkaren	lexibank	Luangthongkum2019	10.5281/zenodo.13254728	x	x	x	x	v1.1
mannburmish	391	388	mannburmish	lexibank	Mann1998	10.5281/zenodo.13235497	x	x	x		v1.3
mcelhanonhuon	140	140	mcelhanonhuon	lexibank	McElhanon1967	10.5281/zenodo.13269405		x	x		v1.1
mixtecansubgrouping	240	204	mixtecansubgrouping	lexibank	Auderset2023	10.5281/zenodo.14001610	x	x	x		v0.4
nagarajakhasian	200	200	nagarajakhasian	lexibank	Nagaraja2013	10.5281/zenodo.13269522	x	x	x		v1.1
oskolskayatungusic	254	254	oskolskayatungusic	lexibank	Oskolskaya2022	10.5281/zenodo.13163376	x	x	x		v1.1
peirosaustroasiatic	100	100	peirosaustroasiatic	lexibank	Peiros1998	10.5281/zenodo.13168443		x	x		v1.1
pharaocoracholaztecan	100	100	pharaocoracholaztecan	lexibank	Pharao2020	10.5281/zenodo.13304640		x	x	x	v1.1.1
ratcliffearabic	100	100	ratcliffearabic	lexibank	Ratcliffe2021	10.5281/zenodo.13162864		x	x		v1.1
robbeetstriangulation	253	253	robbeetstriangulation	lexibank	Robbeets2021	10.5281/zenodo.14614177	x	x	x		v0.3
robinsonap	398	392	robinsonap	lexibank	Robinson2012	10.5281/zenodo.13163515	x	x	x		v4.1
saenkoromance	110	110	saenkoromance	lexibank	Saenko2015	10.5281/zenodo.13163492		x	x		v1.1
sagartst	250	250	sagartst	lexibank	Sagart2019	10.5281/zenodo.13162889	x	x	x		v2.1
savelyevturkic	254	254	savelyevturkic	lexibank	Savelyev2020	10.5281/zenodo.13163242	x	x	x		v2.1
seifartecheverriboran	408	351	seifartecheverriboran	lexibank	Seifart2015	10.5281/zenodo.13164427	x	x	x	x	v1.0
sidwellbahnaric	200	200	sidwellbahnaric	lexibank	Sidwell2015	10.5281/zenodo.13162996	x	x	x		v1.1
sidwellvietic	116	116	sidwellvietic	lexibank	Sidwell2021	10.5281/zenodo.13164573		x	x	x	v1.1
simsrma	233	190	simsrma	lexibank	Sims2020	10.5281/zenodo.13168246	x	x	x		v1.3
starostinkaren	110	110	starostinkaren	lexibank	Starostin2011	10.5281/zenodo.13168287		x	x		v1.0
starostinpie	110	110	starostinpie	sequencecomparison	Starostin2005b	10.5281/zenodo.13167172		x	x		v1.1
starostintujia	109	109	starostintujia	lexibank	Starostin2013b	10.5281/zenodo.13163694		x	x		v1.0
syrjaenenuralic	173	173	syrjaenenuralic	lexibank	Syrjaenen2013	10.5281/zenodo.13164684		x	x		v1.1
tuled	447	439	tuled	lexibank	TULED	10.5281/zenodo.14777803	x	x	x		v1.0
utoaztecan	121	121	utoaztecan	lexibank	Greenhill2023	10.5281/zenodo.14619055		x	x		v1.4
walworthpolynesian	210	210	walworthpolynesian	lexibank	Walworth2018	10.5281/zenodo.13218906	x	x	x		v1.1
wichmannmixezoquean	110	110	wichmannmixezoquean	lexibank	Wichmann2011	10.5281/zenodo.13163225		x	x		v1.1
yanglalo	1000	877	yanglalo	lexibank	Yang2011	10.5281/zenodo.13306849	x	x	x	x	v4.0
zhivlovobugrian	110	110	zhivlovobugrian	sequencecomparison	Zhivlov2011	10.5281/zenodo.13220897		x	x		v1.1

